Alfabet,Title,Description,Mamfaat Pemeriksaan
#,"1,3-Beta-D-Glucan (Fungitell), Serum","Tes Fungitell diindikasikan untuk diagnosis dugaan infeksi jamur dan harus digunakan bersama dengan prosedur diagnostik lainnya. Tes ini tidak mendeteksi spesies jamur tertentu seperti Cryptococcus, yang menghasilkan tingkat (1,3) -beta-D-glukan yang sangat rendah.","Membantu diagnosis infeksi jamur invasif / disseminated (misalnya, P. jirovecii, Aspergillus, atau Candida)."
A,Acetylcholine Receptor Antibodies (ACAB),"Anti-AChR ditemukan pada >85% serum pasien dengan generalized MG, dan pada 70% pasien dengan ocular MG, dan ditemukan sangat jarang pada individu sehat. Konsentrasi antibodi anti AChR tidak berkorelasi dengan keparahan MG.",Pemeriksaan ACAB adalah pemeriksaan autoantibodi terhadap acetylcholine receptor (AChR) dalam serum atau plasma manusia untuk diagnosis penyakit myasthenia gravis (MG).
A,ACA IgM,"Antibodi Cardiolipin (ACA) merupakan autoantibodi yang dihasilkan oleh sistem kekebalan tubuh yang keliru menyerang cardiolipin, yakni zat yang ditemukan pada lapisan terluar dari sel (membran sel) dan trombosit. Autoantibodi ini dapat mempengaruhi kemampuan tubuh dalam mengatur pembekuan darah.

Pemeriksaan ACA mendeteksi adanya ACA dalam darah yang umumnya dilakukan pada seseorang yang mengalami satu atau lebih pembekuan darah vena atau arteri (thrombotic episodes) yang tidak dapat dijelaskan; ketika seorang wanita mengalami keguguran berulang, terutama pada trimester kedua dan ketika; ketika seseorang mengalami gejala penyakit autoimun yang konsisten. Terdapat tiga kelas ACA yang mungkin ada dalam darah, yakni IgG, IgM, dan/atau IgA. Dua kelas ACA yang paling umum diperiksa adalah IgG dan IgM. Jika hasil pemeriksaan ACA IgG dan IgM negatif namun masih ada kecurigaan klinis, maka akan dilanjutkan ke pemeriksaan ACA IgA.

Pemeriksaan ACA IgG, IgM, dan/atau IgA membutuhkan sampel berupa darah yang diambil dari pembuluh darah vena di lengan.","Tes untuk antibodi kardiolipin sering digunakan untuk membantu menentukan penyebab:

1. Penggumpalan darah yang tidak diketahui (episode trombotik)
2. Evaluasi untuk sindrom antiphospolipid atau penyakit autoimun lainnya
3. Evaluasi keguguran berulang"
A,Add. workload charge express,,Silahkan cek email anda untuk mendapatkan kata sandi baru
A,Add. workload charge sameday,,Silahkan cek email anda untuk mendapatkan kata sandi baru
A,Activated Protein C Resistance,Resistensi Activated Protein C (APC) adalah cacat herediter yang paling sering dikaitkan dengan trombosis vena dalam. Lebih dari 95% fenotip resistansi APC disebabkan oleh Faktor V Leiden Mutation., Uji resistansi APC adalah tes fungsional berbasis plasma untuk menentukan resistansi APC yang disebabkan oleh mutasi Factor V Leiden.
A,ACA IgG,"Antibodi Cardiolipin (ACA) merupakan autoantibodi yang dihasilkan oleh sistem kekebalan tubuh yang keliru menyerang cardiolipin, yakni zat yang ditemukan pada lapisan terluar dari sel (membran sel) dan trombosit. Autoantibodi ini dapat mempengaruhi kemampuan tubuh dalam mengatur pembekuan darah.

Pemeriksaan ACA mendeteksi adanya ACA dalam darah yang umumnya dilakukan pada seseorang yang mengalami satu atau lebih pembekuan darah vena atau arteri (thrombotic episodes) yang tidak dapat dijelaskan; ketika seorang wanita mengalami keguguran berulang, terutama pada trimester kedua dan ketika; ketika seseorang mengalami gejala penyakit autoimun yang konsisten. Terdapat tiga kelas ACA yang mungkin ada dalam darah, yakni IgG, IgM, dan/atau IgA. Dua kelas ACA yang paling umum diperiksa adalah IgG dan IgM. Jika hasil pemeriksaan ACA IgG dan IgM negatif namun masih ada kecurigaan klinis, maka akan dilanjutkan ke pemeriksaan ACA IgA.

Pemeriksaan ACA IgG, IgM, dan/atau IgA membutuhkan sampel berupa darah yang diambil dari pembuluh darah vena di lengan.","Tes untuk antibodi kardiolipin sering digunakan untuk membantu menentukan penyebab:

1. Penggumpalan darah yang tidak diketahui (episode trombotik)
2. Evaluasi untuk sindrom antiphospolipid atau penyakit autoimun lainnya
3. Evaluasi keguguran berulang"
A,"ACTH,Plasma","Hormon adrenokortikotropik (ACTH) adalah polipeptida asam 39-amino yang disekresikan terutama oleh kelenjar hipofisis anterior. Hipotalamus mengendalikan sekresi ACTH pituitary dengan menggunakan hormon pelepas kortikotropin (CRH), sebuah peptida asam 41-amino dilepaskan sebagai respons terhadap rasa sakit, kegelisahan, dan stres. Ada juga variasi diurnal: tingkat tertinggi sekitar 7-10 pagi. Kortisol memberikan kontrol umpan balik negatif pada sekresi ACTH pada kelenjar pituitari dan tingkat hipotalamus.","Penentuan ACTH berguna dalam membedakan antara gangguan hipokognitif primer dan sekunder adrenokortikal: penyakit Addison, sindrom Cushing, karsinoma adrenal, sindrom ACTH ektopik, dan hiperplasia nodul adrenal."
A,Acetylcholine Receptor Modulating Antibody,"Myastenia Gravis (MG), gangguan transmisi neuromuskuler yang paling umum, adalah penyakit autoimun antibody-mediated yang berasal dari hilangnya reseptor asetilkoline (AChR) dipersimpangan neuromuskular. Autoantibodi yang mengikat AChR adalah diagnostik MG, dan ditemukan di 85-90% dari pasien MG. Autoantibodi AChR hadir paling sering di MG dan memberikan informasi yang paling dapat diandalkan untuk skrining diagnostik. Sebagian kecil pasien dengan serangan dini atau mata dibatasi MG mungkin hanya memiliki AChR modulasi autoantibodi, sehingga jika autoantibodi yang mengikat AChR tidak ada dalam pasien dengan kelemahan memerintahkan. AChR memblokir autoantibodi yang ditujukan terhadap situs neurotransmitter mengikat dan mungkin satu-satunya autoantibodi AChR sekitar 1% dari pasien MG.","Muscle AChR modulating antibodies berikatan secara selektif dengan situs muscle AChR yang berada di permukaan membran otot. Anti-AChR berikatan dengan AChR pada membran dan akan meningkatkan kecepatan degradasi. Pemeriksaan AChR modulating antibody mengukur kecepatan AChR berlabel yang hilang dari cultured human myotubes/ hilangnya situs ikatan 125I-alpha-bungarotoxin. AChR modulating antibodies ditemukan pada sekitar 10% pasien MG yang tidak memiliki binding antibodies. Pemeriksaan ini tidak dapat membedakan antara aktivitas muscle AChR blocking dan muscle AChR modulating antibody. Pemeriksaan ini terutama bermanfaat ketika muscle AChR binding antibodies tidak terdeteksi, kondisi yang seringkali ditemukan pada pasien dengan gejala yang baru muncul, ringan atau hanya melibatkan okular. "
A,Acetylcholine Receptor Blocking Autoabs,"Myastenia Gravis (MG), gangguan transmisi neuromuskuler yang paling umum, adalah penyakit autoimun antibody-mediated yang berasal dari hilangnya reseptor asetilkoline (AChR) dipersimpangan neuromuskular. Autoantibodi yang mengikat AChR adalah diagnostik MG, dan ditemukan di 85-90% dari pasien MG. Autoantibodi AChR hadir paling sering di MG dan memberikan informasi yang paling dapat diandalkan untuk skrining diagnostik. Sebagian kecil pasien dengan serangan dini atau mata dibatasi MG mungkin hanya memiliki AChR modulasi autoantibodi, sehingga jika autoantibodi yang mengikat AChR tidak ada dalam pasien dengan kelemahan memerintahkan. AChR memblokir autoantibodi yang ditujukan terhadap situs neurotransmitter mengikat dan mungkin satu-satunya autoantibodi AChR sekitar 1% dari pasien MG.","Pengukuran inhibisi ikatan radiolabeled ?-bungarotoxin terhadap AChR. Blocking antibodies yang diukur dengan teknik ini secara langsung menyerang situs ikatan ACh pada subunit ? pada AChR. Antibodi ini tidak terdeteksi dengan pemeriksaan muscle AChR binding antibodies tetapi terdeteksi dengan pemeriksaan muscle AChR modulating antibodies. Pada kebanyakan pasien, antibodi yang mengenali situs ini relatif sedikit. Blocking antibodies ditemukan pada <1% pasien MG yang tidak memiliki binding antibodies. Pemeriksaan ini tidak diindikasikan kecuali hasil pemeriksaan muscle AChR modulating antibodies positif."
